lane_id,file_count,missing_core_files,status
01_source_ledger_evidence,11,,ok
02_atlas_architecture_chunking_embedding,11,,ok
03_comfyui_core_api_subgraph,11,,ok
04_comfyui_custom_node_ecosystem,11,,ok
05_pip_runtime_dependency_knowledge,11,,ok
06_training_data_centric_ml_vol2,11,,ok
07_cfg_denoise_inpaint_theory,11,,ok
08_compatibility_matrix_atlas,11,,ok
09_failure_signature_atlas,11,,ok
10_workflow_pattern_atlas_library,11,,ok
11_gradio_ui_research,11,,ok
12_llm_fundamentals,11,,ok
13_agent_tool_use_mcp,11,,ok
14_evaluation_observability,11,,ok
15_safety_security_red_team,11,,ok
16_governance_licensing_ethics,11,,ok
17_model_serving_deployment,11,,ok
18_mlops_llmops_release_management,11,,ok
19_math_for_ai_practitioners,11,,ok
20_data_engineering_for_ai,11,,ok
21_audio_speech_music_ai,11,,ok
22_vision_language_ocr_document_ai,11,,ok
23_synthetic_data_dataset_creation,11,,ok
24_ai_application_architecture,11,,ok
25_hardware_cost_performance_planning,11,,ok
26_comfyui_advanced_node_io_datatypes,12,,ok
27_comfyui_custom_node_development_patterns,11,,ok
28_comfyui_workflow_api_graph_subgraph_advanced,11,,ok
29_comfyui_frontend_extensions_ui_controls,11,,ok
30_comfyui_troubleshooting_migration_packaging,11,,ok
31_comfyui_datatype_conversion_boundaries,12,,ok
32_comfyui_workflow_api_automation_gradio_bridge,13,,ok
33_comfyui_advanced_workflow_design_patterns,12,,ok
34_aiwf_gradio_topics20_25_learning_guide,11,,ok
35_atlas_evaluation_benchmarking,11,,ok
