source_id,title,url,publisher,verified_status,use_for,notes
COMFY-PASS04-DOC-001,ComfyUI Subgraph user guide,https://docs.comfy.org/interface/features/subgraph,ComfyUI Official Documentation,official_docs_verified,Subgraphs as reusable workflow components; creation from selected nodes; exposed input/output slots; bypass behavior; nested subgraphs; subgraph blueprints.,Official docs describe subgraphs as reusable nodes for simplifying complex workflows and state slot connections follow normal datatype validation.
COMFY-PASS04-DOC-002,ComfyUI Subgraph blueprints developer documentation,https://docs.comfy.org/custom-nodes/subgraph_blueprints,ComfyUI Official Documentation,official_docs_verified,Packaging reusable subgraph components in custom node directories under a subgraphs folder.,Official docs state ComfyUI scans custom node directories for subgraph files and serves them through /global_subgraphs.
COMFY-PASS04-DOC-003,ComfyUI UI subgraphs developer guide,https://docs.comfy.org/custom-nodes/js/subgraphs,ComfyUI Official Documentation,official_docs_verified,"Nested subgraph identifiers, recursive traversal, root graph vs active graph, subgraph events, and widget promotion.",Use for frontend extension behavior; node IDs inside subgraphs require careful treatment.
COMFY-PASS04-DOC-004,ComfyUI Nodes core concepts,https://docs.comfy.org/development/core-concepts/nodes,ComfyUI Official Documentation,official_docs_verified,"General node graph model, node states, missing/error states, and datatype-valid connections.",Official docs define nodes as independent functional modules connected by links with datatype validation.
COMFY-PASS04-DOC-005,ComfyUI Workflow JSON schema,https://docs.comfy.org/specs/workflow_json,ComfyUI Official Documentation,official_docs_verified,"Workflow graph serialization, nodes, links, groups, config, and schema-bound structure.",Use for workflow-as-data reasoning and link/source-of-truth rules.
COMFY-PASS04-DOC-006,ComfyUI ComfySwitchNode built-in docs,https://docs.comfy.org/built-in-nodes/ComfySwitchNode,ComfyUI Official Documentation,official_docs_verified,Boolean switch logic using MATCH_TYPE inputs for routing one of two typed values.,The docs say the Switch node outputs on_true or on_false based on a boolean switch.
COMFY-PASS04-DOC-007,ComfyUI ComfySoftSwitchNode built-in docs,https://docs.comfy.org/built-in-nodes/ComfySoftSwitchNode,ComfyUI Official Documentation,official_docs_verified,Lazy switch behavior and typed routing where only the needed input is evaluated.,The docs say Soft Switch is lazy and requires the true/false inputs to share the same data type.
COMFY-PASS04-DOC-008,ComfyUI Lazy Evaluation documentation,https://docs.comfy.org/custom-nodes/backend/lazy_evaluation,ComfyUI Official Documentation,official_docs_verified,"Switch/router nodes, skipping expensive unused branches, ExecutionBlocker behavior, and output disabling patterns.",Official docs state lazy evaluation is useful for switch nodes and explain check_lazy_status plus ExecutionBlocker.
COMFY-PASS04-DOC-009,ComfyUI Node Expansion documentation,https://docs.comfy.org/custom-nodes/backend/expansion,ComfyUI Official Documentation,official_docs_verified,"Programmatic graph expansion, GraphBuilder, loop-like nodes, and cache-aware subgraph construction.",Use for advanced developer workflows where a node expands into a graph at execution time.
COMFY-PASS04-DOC-010,ComfyUI Node Replacement documentation,https://docs.comfy.org/custom-nodes/backend/node-replacement,ComfyUI Official Documentation,official_docs_verified,"Migrating deprecated nodes, renamed nodes, refactored inputs, output mapping, and widget binding.",Use when recommending stable workflow packaging and migration-safe custom node evolution.
COMFY-PASS04-DOC-011,ComfyUI Workflow templates documentation,https://docs.comfy.org/custom-nodes/workflow_templates,ComfyUI Official Documentation,official_docs_verified,Packaging example workflows for custom nodes and exposing them through the template browser.,Use for one-click learning examples and node-pack release packaging.
