pass_id,pack_number,pack_name,repo,node_id_class_type,display_name,category,schema_level,status,input_summary,output_summary,primary_use,models_or_dependencies,workflow_generation_policy,portable_default_candidate,requires_local_test,risk_tags,source_refs,notes
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:ATI,ATI,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:Cache,Cache,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:ControlNet,ControlNet,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:Deprecated,Deprecated,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:FantasyPortrait,FantasyPortrait,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:FantasyTalking,FantasyTalking,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:FlashVSR,FlashVSR,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:FunCamera,FunCamera,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:HuMo,HuMo,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
PASS_02A,15,ComfyUI-WanVideoWrapper,kijai/ComfyUI-WanVideoWrapper,MODULE:LongCat,LongCat,WanVideoWrapper/module,module_inventory_confirmed,required_or_optional_module,see module file,various,Wan ecosystem module inventory,Many optional modules may fail import if dependencies absent,rag_only_needs_module_sweep,no,yes,"optional_module,heavy_video,dependency_sensitive",turn143file0;turn144file0;turn145file0,
