source_id,source_name,source_type,repo_or_file,url_or_path,pack_numbers,node_rows_supported,best_schema_level,workflow_policy_values_seen,risk_tags_seen,citation_markers_seen,rag_use,verification_status,notes
SRC-001,ComfyUI-RMBG,github_repo,1038lab/ComfyUI-RMBG,https://github.com/1038lab/ComfyUI-RMBG,52,9,module_inventory,guarded_generate_after_dense_schema,"segmentation,background_removal,dynamic_import,model_download",turn223file10; turn223file11; turn223file12; turn223file13; turn223file14; turn223file15; turn223file16; turn223file17; turn223file18; turn223file19; turn223file20; turn223file21; turn223file22; turn223file23; turn223file24; turn223file25; turn223file5; turn223file7; turn236file0,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-002,ComfyUI Workspace Manager - Comfyspace,github_repo,11cafe/comfyui-workspace-manager,https://github.com/11cafe/comfyui-workspace-manager,37,1,schema_confirmed,rag_only_runtime_policy,"server_routes,filesystem,workflow_manager",turn220file0,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-003,ComfyUI-Copilot,github_repo,AIDC-AI/ComfyUI-Copilot,https://github.com/AIDC-AI/ComfyUI-Copilot,38,1,schema_confirmed,rag_only_runtime_policy,"ai_assistant,server_routes,external_llm_possible",turn221file0,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-004,AIGODLIKE-ComfyUI-Studio,github_repo,AIGODLIKE/AIGODLIKE-ComfyUI-Studio,https://github.com/AIGODLIKE/AIGODLIKE-ComfyUI-Studio,50,1,ui_extension_inventory,do_not_generate_ui_extension,"ui_extension,management",turn227file3,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-005,AIGODLIKE-COMFYUI-TRANSLATION,github_repo,AIGODLIKE/AIGODLIKE-ComfyUI-Translation,https://github.com/AIGODLIKE/AIGODLIKE-ComfyUI-Translation,51,1,ui_extension_inventory,do_not_generate_ui_extension,"ui_extension,localization",turn227file1,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-006,One Button Prompt,github_repo,AIrjen/OneButtonPrompt,https://github.com/AIrjen/OneButtonPrompt,44,2,schema_confirmed_light,guarded_generate_after_user_choice,"random_prompting,style_bias; random_prompting,style_bias,possibly_nsfw_terms",turn234file0; turn243file0,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-007,comfyui-inpaint-nodes,github_repo,Acly/comfyui-inpaint-nodes,https://github.com/Acly/comfyui-inpaint-nodes,14,13,schema_confirmed,guarded_generate_after_local_test; safe_to_generate_if_inpaint_pack_installed,"bbox,mask_utility; color_match,mask_postprocess; cv2_optional,mask_preprocess; inpaint,latent_mask; mask_cleanup; mask_postprocess; mask_preprocess; model_file_required,batch_processing; model_file_required,model_patch; model_file_required,spandrel; model_patch,version_sensitive",turn141file0; turn142file0,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-008,Comfyui-LayerForge,github_repo,Azornes/Comfyui-LayerForge,https://github.com/Azornes/Comfyui-LayerForge,66,1,module_inventory,rag_only_until_schema,"layer_compositing,needs_schema",turn245file3,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-009,Masquerade Nodes,github_repo,BadCafeCode/masquerade-nodes-comfyui,https://github.com/BadCafeCode/masquerade-nodes-comfyui,58,8,schema_confirmed_light,guarded_generate_after_local_test; safe_generate_after_local_test,"mask_tools; mask_tools,auto_install",turn238file0; turn239file0,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-010,Tiled sampling for ComfyUI,github_repo,BlenderNeko/ComfyUI_TiledKSampler,https://github.com/BlenderNeko/ComfyUI_TiledKSampler,91,1,mapping_confirmed,rag_reference_then_schema_if_used,"needs_schema,dependency_sensitive",turn261file2; turn261file5,node_schema_and_workflow_compatibility,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
SRC-011,ComfyUI Core Native Wan 2.2,comfyui_core_official_template,Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,https://github.com/Comfy-Org/ComfyUI + Comfy-Org/workflow_templates,990,11,template_confirmed,do_not_generate_until_template_schema_fetched; guarded_generate_advanced_variant_after_model_download_check; guarded_generate_after_opening_exact_template_node; safe_generate_native_core_after_comfy_version_check; safe_generate_native_core_after_variant_check; safe_generate_with_variant_specific_settings; safe_generate_with_variant_specific_shift,"field_report_claim,wan22,first_last_frame,needs_schema; field_report_claim,wan22_14b,template_subgraph_hidden; model_size,download_required,wan22,core_version_sensitive; sampler_settings,wan22,performance_sensitive; settings_sensitive,variant_specific,wan22; text_encoder,wan22,fp8,download_required; variant_specific,vae,wan22; video_output,codec_environment_sensitive; video_output,core_version_sensitive; wan22,video_latent,length_memory_sensitive; wan22_14b,lightning_lora,24gb_plus,performance_sensitive",official_template:turn303file0; official_template:turn304file0; uploaded_field_report:turn305file0,official_workflow_baseline,source_indexed_from_chat_and_pass_files,Generated from PASS_02_NODE_INDEX.csv during Pass 02K source consolidation.
