lane_id,lane_title,file_path,doc_role,load_priority
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/README_VOL1.md,README_VOL1,normal
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/VOL1_SCOPE.md,VOL1_SCOPE,normal
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/CANONICAL_OVERVIEW.md,CANONICAL_OVERVIEW,high
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/CONCEPT_MAP.md,CONCEPT_MAP,normal
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/EMBEDDING_AND_CHUNKING_STRATEGY.md,EMBEDDING_AND_CHUNKING_STRATEGY,high
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/RETRIEVAL_CARDS.jsonl,RETRIEVAL_CARDS,high
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/QA_TEST_PROMPTS.md,QA_TEST_PROMPTS,normal
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/GAP_AUDIT_AND_VOL2_QUEUE.md,GAP_AUDIT_AND_VOL2_QUEUE,normal
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/SOURCE_COVERAGE.md,SOURCE_COVERAGE,normal
RP01,Source Ledger and Evidence Governance,01_RESEARCH_PROJECTS_VOL1/01_source_ledger_evidence/vol1_lane_manifest.json,vol1_lane_manifest,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/README_VOL1.md,README_VOL1,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/VOL1_SCOPE.md,VOL1_SCOPE,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/CANONICAL_OVERVIEW.md,CANONICAL_OVERVIEW,high
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/CONCEPT_MAP.md,CONCEPT_MAP,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/EMBEDDING_AND_CHUNKING_STRATEGY.md,EMBEDDING_AND_CHUNKING_STRATEGY,high
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/RETRIEVAL_CARDS.jsonl,RETRIEVAL_CARDS,high
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/QA_TEST_PROMPTS.md,QA_TEST_PROMPTS,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/GAP_AUDIT_AND_VOL2_QUEUE.md,GAP_AUDIT_AND_VOL2_QUEUE,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/SOURCE_COVERAGE.md,SOURCE_COVERAGE,normal
RP02,"RAG Architecture, Chunking, and Embedding Strategy",01_RESEARCH_PROJECTS_VOL1/02_rag_architecture_chunking_embedding/vol1_lane_manifest.json,vol1_lane_manifest,normal
RP03,"ComfyUI Core API, Workflow JSON, and Subgraph Research",01_RESEARCH_PROJECTS_VOL1/03_comfyui_core_api_subgraph/README_VOL1.md,README_VOL1,normal
