path,role,active,index_by_default
16_VISUAL_ASSETS/torchie_callouts/torchie_2026_rebrand_reference_sheet.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_hero_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_turnaround_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_details_palette_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_expressions_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_action_poses_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_logo_mark_ideas_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/torchie_extra_poses_reference.png,canonical_rebrand_asset,yes,no
16_VISUAL_ASSETS/torchie_callouts/TORCHIE_VISUAL_CALLOUT_SPEC.md,visual_spec,yes,yes
06_CHANGE_HISTORY/torchie_rebrand_v2_11/torchie_callout_style_sheet_pre_v2_11.svg,historical_previous_torchie,no,no
